     HF-A            CAS(12,12)-A    HF-B            CAS(12,12)-B
1.5  -2085.51186468  -2086.62972586  -2085.99908337  -2086.62940876
1.6  -2085.68557272  -2086.64020364  -2085.96651671  -2086.65067626
1.7  -2085.80985228  -2086.65619225  -2085.91618973  -2086.65619223
1.8  -2085.90437610  -2086.65882792  -2085.85823065  -2086.65882791
1.9  -2085.97881305  -2086.66329543  -2085.79779351  -2086.66329543
2.0  -2086.03724703  -2086.66997736  -2085.73755945  -2086.66997735
2.1  -2086.08250779  -2086.67788230  -2085.67898637  -2086.67788230
2.2  -2086.11724641  -2086.68584871  -2085.62289194  -2086.68584868
2.3  -2086.14378532  -2086.69308146  -2085.56972634  -2086.69308151
2.4  -2086.16402125  -2086.69921477  -2085.51970762  -2086.69921470
2.5  -2086.17944504  -2086.70417003  -2085.47289718  -2086.70416995
2.6  -2086.19120578  -2086.70801965  -2085.42925235  -2086.70801978
2.7  -2086.20018086  -2086.71090164  -2085.38866101  -2086.71090162
2.8  -2086.20703790  -2086.63055061  -2085.35097815  -2086.71297337
2.9  -2086.21228432  -2086.63619438  -2085.31601295  -2086.71438759
3.0  -2086.21630619  -2086.64033369  -2085.28402433  -2086.71528341
