     HF-A          CAS(6,6)-A    HF-B          CAS(6,6)-B
0.7  -99.93044898  -99.53528307  -99.93044898  -99.53528307
0.8  -100.00265748  -99.64746411  -100.00265748  -99.64746411
0.9  -100.01970406  -99.71271632  -100.01970406  -99.71271635
1.0  -100.00987003  -99.74311480  -100.00987003  -99.74311471
1.1  -99.98739744  -99.77823136  -99.98739744  -99.79193289
1.2  -99.95952604  -99.81944413  -99.95952604  -99.81944411
1.3  -99.93000542  -99.84117786  -99.93000542  -99.84117778
1.4  -99.90078979  -99.85805184  -99.90078979  -99.85805179
1.5  -99.87285247  -99.87097298  -99.87285247  -99.87097303
1.6  -99.84662408  -99.88077631  -99.84662408  -99.88077625
1.7  -99.82225305  -99.88817083  -99.82225305  -99.88817083
1.8  -99.79975162  -99.88615687  -99.79975162  -99.88615687
1.9  -99.77906426  -99.89235268  -99.77906426  -99.89235268
2.0  -99.76009618  -99.89687595  -99.76009618  -99.89687595
2.1  -99.74273040  -99.90016956  -99.74273040  -99.90016956
2.2  -99.72684379  -99.90255922  -99.72684379  -99.90255922
2.3  -99.71232005  -99.90428428  -99.71232005  -99.90428429
2.4  -99.69905551  -99.90552198  -99.69905551  -99.90552198
2.5  -99.68695791  -99.90640458  -99.68695791  -99.90640458
2.6  -99.67594205  -99.90703072  -99.67594205  -99.90703072
2.7  -99.66592607  -99.90747325  -99.66592607  -99.90747325
2.8  -99.65682995  -99.90778504  -99.65682995  -99.90778504
2.9  -99.64857584  -99.90800396  -99.64857584  -99.90800396
3.0  -99.64108922  -99.90815690  -99.64108922  -99.90815690
3.1  -99.63429987  -99.90826295  -99.63429987  -99.90826295
3.2  -99.62814243  -99.90833571  -99.62814243  -99.90833571
3.3  -99.62255645  -99.90838498  -99.62255645  -99.90838498
3.4  -99.61748630  -99.90841780  -99.61748630  -99.90841780
3.5  -99.61288099  -99.90843923  -99.61288099  -99.90843923
3.6  -99.60869397  -99.90845292  -99.60869397  -99.90845292
3.7  -99.60488291  -99.90846140  -99.60488291  -99.90846140
3.8  -99.60140948  -99.90846648  -99.60140948  -99.90846648
3.9  -99.59823906  -99.90846937  -99.59823906  -99.90846937
4.0  -99.59534044  -99.90847091  -99.59534044  -99.90847091
