4.0 bohr, HF energy: -15.67344865, CASSCF energy: -15.69352389
3.9 bohr, HF energy: -15.66822322, CASSCF energy: -15.68855503
3.8 bohr, HF energy: -15.66039293, CASSCF energy: -15.68100150
3.7 bohr, HF energy: -15.65057504, CASSCF energy: -15.67148772
3.6 bohr, HF energy: -15.63921946, CASSCF energy: -15.66047555
3.5 bohr, HF energy: -15.62665280, CASSCF energy: -15.64831118
3.4 bohr, HF energy: -15.61310917, CASSCF energy: -15.63526133
3.3 bohr, HF energy: -15.59875205, CASSCF energy: -15.62154599
3.2 bohr, HF energy: -15.58369007, CASSCF energy: -15.60738027
3.1 bohr, HF energy: -15.56798865, CASSCF energy: -15.59306218
3.0 bohr, HF energy: -15.55167904, CASSCF energy: -15.57929438
2.9 bohr, HF energy: -15.53476574, CASSCF energy: -15.56905951
2.8 bohr, HF energy: -15.51723309, CASSCF energy: -15.56916757
2.7 bohr, HF energy: -15.49905170, CASSCF energy: -15.57758402
2.6 bohr, HF energy: -15.48018517, CASSCF energy: -15.58932084
2.5 bohr, HF energy: -15.46059748, CASSCF energy: -15.60218871
2.4 bohr, HF energy: -15.44026131, CASSCF energy: -15.61527387
2.3 bohr, HF energy: -15.41916765, CASSCF energy: -15.62812247
2.2 bohr, HF energy: -15.39733635, CASSCF energy: -15.64047498
2.1 bohr, HF energy: -15.37482713, CASSCF energy: -15.65217258
2.0 bohr, HF energy: -15.65920706, CASSCF energy: -15.66312101
1.9 bohr, HF energy: -15.66932212, CASSCF energy: -15.67327613
1.8 bohr, HF energy: -15.67859386, CASSCF energy: -15.68263619
1.7 bohr, HF energy: -15.68707053, CASSCF energy: -15.69123456
1.6 bohr, HF energy: -15.69482374, CASSCF energy: -15.69913174
1.5 bohr, HF energy: -15.70194202, CASSCF energy: -15.70640723
1.4 bohr, HF energy: -15.70852358, CASSCF energy: -15.71315175
1.3 bohr, HF energy: -15.71466836, CASSCF energy: -15.71945928
1.2 bohr, HF energy: -15.72046977, CASSCF energy: -15.72541856
1.1 bohr, HF energy: -15.72600606, CASSCF energy: -15.73110441
1.0 bohr, HF energy: -15.73133230, CASSCF energy: -15.73656946
