     HF 1.5->3.0     CAS(12,12)      NEVPT2
1.5  -2085.99908338  -2086.62972589   -1.00413041
1.6  -2085.96651672  -2086.65067629   -1.00472693
1.7  -2085.91618973  -2086.65619227   -1.00178830
1.8  -2085.85823065  -2086.65882798   -0.99360410
1.9  -2085.79779352  -2086.66329550   -0.98204732
2.0  -2085.73755948  -2086.66997739   -0.96991606
2.1  -2085.67898637  -2086.67788236   -0.95926910
2.2  -2085.62289193  -2086.68584874   -0.95079378
2.3  -2085.56972638  -2086.69308154   -0.94420511
2.4  -2085.51970752  -2086.69921484   -0.93895014
2.5  -2085.47289707  -2086.70417012   -0.93457569
2.6  -2085.42925194  -2086.70801984   -0.93079152
2.7  -2085.38866143  -2086.71090191   -0.92743685
2.8  -2085.35097380  -2086.71297344   -0.92442551
2.9  -2085.31601424  -2086.71438767   -0.92171013
3.0  -2085.28359702  -2086.71528347   -0.91926777
