Data from
https://www.webelements.com
https://www.webelements.com/hydrogen/isotopes.html
unit (10^7 rad T^{‑1} s^{-1})

1H     1/2    26.7522128 | 2H     1      4.10662791 | 3H     1/2    28.5349779
3He    1/2   -20.3801587 |                          |
6Li    1       3.9371709 | 7Li    3/2    10.3977013 |
9Be    3/2     -3.759666 |                          |
10B    3       2.8746786 | 11B    3/2     8.5847044 |
11C                      | 13C    1/2      6.728284 |
14N    1       1.9337792 | 15N    1/2   -2.71261804 |
17O    5/2      -3.62808 |                          |
19F    1/2      25.18148 |                          |
21Ne   3/2      -2.11308 |                          |
23Na   3/2     7.0808493 |                          |
25Mg   5/2      -1.63887 |                          |
27Al   5/2     6.9762715 |                          |
29Si   1/2       -5.3190 |                          |
31P    1/2       10.8394 |                          |
33S    3/2      2.055685 | 33S                      |
35Cl   3/2      2.624198 | 37Cl   3/2      2.184368 |
39K    3/2     1.2500608 | 40K    4      -1.5542854 | 41K    3/2    0.68606808
41Ca                     | 43Ca   7/2     -1.803069 |
45Sc   7/2     6.5087973 |                          |
47Ti   5/2       -1.5105 | 49Ti   7/2      -1.51095 |
50V    6       2.6706490 | 51V    7/2     7.0455117 |
53Cr   3/2       -1.5152 |                          |
55Mn   5/2     6.6452546 |                          |
57Fe   1/2     0.8680624 |                          |
59Co   7/2         6.332 |                          |
61Ni   3/2       -2.3948 |                          |
63Cu   3/2     7.1117890 | 65Cu   3/2       7.60435 |
67Zn   5/2      1.676688 |                          |
69Ga   3/2      6.438855 | 71Ga   3/2      8.181171 |
73Ge   9/2    -0.9360303 |                          |
75As   3/2      4.596163 |                          |
77Se   1/2     5.1253857 |                          |
79Br   3/2      6.725616 | 81Br   3/2      7.249776 |
83Kr   9/2      -1.03310 | 85Kr                     |
85Rb   5/2     2.5927050 | 87Rb   3/2      8.786400 |
87Sr   9/2    -1.1639376 |                          |
89Y    1/2    -1.3162791 | 90Y                      |
91Zr   5/2      -2.49743 |                          |
93Nb   9/2        6.5674 |                          |
95Mo   5/2        -1.751 | 97Mo   5/2        -1.788 |
99Ru   5/2        -1.229 | 101Ru  5/2        -1.377 |
99Tc   9/2         6.046 |                          |
100Rh                    | 103Rh  1/2       -0.8468 |
105Pd  5/2         -1.23 |                          |
107Ag  1/2    -1.0889181 | 109Ag  1/2    -1.2518634 |
111Cd  1/2    -5.6983131 | 113Cd  1/2    -5.9609153 |
113In  9/2        5.8845 | 115In  9/2        5.8972 |
115Sn  1/2       -8.8013 | 117Sn  1/2      -9.58879 | 119Sn  1/2      -10.0317
121Sb  5/2        6.4435 | 123Sb  7/2        3.4892 |
123Te  1/2     -7.059098 | 125Te  1/2    -8.5108404 |
127I   5/2      5.389573 | 129I                     |
129Xe  1/2     -7.452103 | 131Xe  3/2      2.209076 |
133Cs  7/2     3.5332539 |                          |
133Cs  7/2     3.5332539 |                          |
135Ba  3/2       2.65750 | 137Ba  3/2       2.99295 |
138La  5        3.557239 | 139La  7/2     3.8083318 |
141Pr  5/2        8.1907 |                          |
143Nd  7/2        -1.457 | 145Nd  7/2        -0.898 |
147Pm  7/2         3.613 |                          |
147Sm  7/2        -1.115 | 149Sm  7/2       -0.9192 |
151Eu  5/2        6.6510 | 153Eu  5/2        2.9369 |
155Gd  3/2      -0.82132 | 157Gd  3/2       -1.0769 |
159Tb  3/2         6.431 |                          |
161Dy  5/2       -0.9201 | 163Dy  5/2         1.289 |
165Ho  7/2         5.710 |                          |
167Er  7/2      -0.77157 |                          |
169Tm  1/2        -2.218 |                          |
171Yb  1/2        4.7288 | 173Yb  5/2       -1.3025 |
175Lu  7/2        3.0552 | 176Lu  7          2.1684 |
177Hf  7/2         1.086 | 179Hf  9/2       -0.6821 |
181Ta  7/2        3.2438 |                          |
182W                     | 183W   1/2     1.1282403 |
185Re  5/2        6.1057 | 187Re  5/2        6.1682 |
187Os  1/2     0.6192895 | 189Os  3/2       2.10713 |
191Ir  3/2        0.4812 | 193Ir  3/2        0.5227 |
195Pt  1/2        5.8385 |                          |
197Au  3/2      0.473060 |                          |
199Hg  1/2     4.8457916 | 201Hg  3/2     -1.788769 |
203Tl  1/2    15.5393338 | 205Tl  1/2    15.6921808 |
207Pb  1/2       5.58046 | 207Pb                    |
209Po  1/2           7.4 |                          |
209Bi  9/2        4.3750 |                          |
209Rn                    |                          |
223Fr                    |                          |
223Ra                    |                          |
227Ac  3/2           3.5 |                          |
229Th  5/2          0.40 |                          |
231Pa  3/2          3.21 |                          |
233U                     | 235U   7/2         -0.52 |
237Np  5/2           3.1 |                          |
239Pu  1/2         0.972 | 241Pu                    |
241Am  5/2          1.54 | 243Am  5/2          1.54 |
247Cm  9/2          0.20 |                          |
253Es                    |                          |
