#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53672028e+02  -1.53971374e+02  -1.53988715e+02  -1.53787252e+02  -1.53778272e+02  -1.53996050e+02
0.700000  -1.53883518e+02  -1.54187689e+02  -1.54204990e+02  -1.54003359e+02  -1.53994368e+02  -1.54212416e+02
0.800000  -1.53975971e+02  -1.54285038e+02  -1.54302306e+02  -1.54100526e+02  -1.54091482e+02  -1.54309813e+02
0.900000  -1.54007857e+02  -1.54321855e+02  -1.54339094e+02  -1.54137186e+02  -1.54128038e+02  -1.54346676e+02
1.000000  -1.54009038e+02  -1.54328022e+02  -1.54345237e+02  -1.54143212e+02  -1.54133913e+02  -1.54352887e+02
1.100000  -1.53995013e+02  -1.54319130e+02  -1.54336325e+02  -1.54134178e+02  -1.54124701e+02  -1.54344034e+02
1.200000  -1.53973870e+02  -1.54303401e+02  -1.54320583e+02  -1.54118293e+02  -1.54108636e+02  -1.54328343e+02
1.300000  -1.53949867e+02  -1.54285234e+02  -1.54302408e+02  -1.54099947e+02  -1.54090127e+02  -1.54310209e+02
1.400000  -1.53925240e+02  -1.54266977e+02  -1.54284150e+02  -1.54081488e+02  -1.54071536e+02  -1.54291983e+02
1.500000  -1.53901130e+02  -1.54249850e+02  -1.54267024e+02  -1.54064140e+02  -1.54054088e+02  -1.54274882e+02
1.600000  -1.53878092e+02  -1.54234439e+02  -1.54251617e+02  -1.54048497e+02  -1.54038374e+02  -1.54259496e+02
1.700000  -1.53856379e+02  -1.54220986e+02  -1.54238167e+02  -1.54034807e+02  -1.54024633e+02  -1.54246066e+02
1.800000  -1.53836095e+02  -1.54209534e+02  -1.54226715e+02  -1.54023118e+02  -1.54012901e+02  -1.54234636e+02
1.900000  -1.53817263e+02  -1.54199999e+02  -1.54217174e+02  -1.54013354e+02  -1.54003088e+02  -1.54225126e+02
2.000000  -1.53799860e+02  -1.54192218e+02  -1.54209380e+02  -1.54005353e+02  -1.53995023e+02  -1.54217370e+02
2.100000  -1.53783832e+02  -1.54185973e+02  -1.54203113e+02  -1.53998901e+02  -1.53988484e+02  -1.54211155e+02
2.200000  -1.53769105e+02  -1.54181027e+02  -1.54198138e+02  -1.53993765e+02  -1.53983232e+02  -1.54206244e+02
2.300000  -1.53755590e+02  -1.54177148e+02  -1.54194223e+02  -1.53989712e+02  -1.53979034e+02  -1.54202406e+02
2.400000  -1.53743194e+02  -1.54174124e+02  -1.54191158e+02  -1.53986531e+02  -1.53975680e+02  -1.54199430e+02
2.500000  -1.53731826e+02  -1.54171775e+02  -1.54188764e+02  -1.53984042e+02  -1.53972992e+02  -1.54197134e+02
2.600000  -1.53721398e+02  -1.54169951e+02  -1.54186894e+02  -1.53982092e+02  -1.53970824e+02  -1.54195370e+02
2.700000  -1.53711830e+02  -1.54168531e+02  -1.54185428e+02  -1.53980561e+02  -1.53969059e+02  -1.54194015e+02
2.800000  -1.53703052e+02  -1.54167419e+02  -1.54184273e+02  -1.53979350e+02  -1.53967607e+02  -1.54192974e+02
2.900000  -1.53695001e+02  -1.54166542e+02  -1.54183357e+02  -1.53978385e+02  -1.53966397e+02  -1.54192173e+02
3.000000  -1.53687621e+02  -1.54165842e+02  -1.54182622e+02  -1.53977605e+02  -1.53965374e+02  -1.54191553e+02
3.100000  -1.53680865e+02  -1.54165277e+02  -1.54182026e+02  -1.53976968e+02  -1.53964499e+02  -1.54191069e+02
3.200000  -1.53674688e+02  -1.54164814e+02  -1.54181536e+02  -1.53976441e+02  -1.53963742e+02  -1.54190690e+02
3.300000  -1.53641319e+02  -1.54165961e+02  -1.54180153e+02  -1.53979503e+02  -1.53963027e+02  -1.54193486e+02
