#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53672028e+02  -1.53941745e+02  -1.53978569e+02  -1.53783724e+02  -1.53777629e+02  -1.53823622e+02
0.700000  -1.53883518e+02  -1.54157998e+02  -1.54194657e+02  -1.53999904e+02  -1.53993647e+02  -1.54041101e+02
0.800000  -1.53975971e+02  -1.54255401e+02  -1.54291949e+02  -1.54097216e+02  -1.54090830e+02  -1.54140154e+02
0.900000  -1.54007857e+02  -1.54292218e+02  -1.54328720e+02  -1.54133941e+02  -1.54127470e+02  -1.54177753e+02
1.000000  -1.54009038e+02  -1.54298307e+02  -1.54334756e+02  -1.54139949e+02  -1.54133368e+02  -1.54184016e+02
1.100000  -1.53995013e+02  -1.54289280e+02  -1.54325661e+02  -1.54130868e+02  -1.54124141e+02  -1.54175032e+02
1.200000  -1.53973870e+02  -1.54273371e+02  -1.54309687e+02  -1.54114935e+02  -1.54108050e+02  -1.54159186e+02
1.300000  -1.53949867e+02  -1.54254978e+02  -1.54291254e+02  -1.54096549e+02  -1.54089522e+02  -1.54140891e+02
1.400000  -1.53925240e+02  -1.54236463e+02  -1.54272732e+02  -1.54078071e+02  -1.54070930e+02  -1.54122483e+02
1.500000  -1.53901130e+02  -1.54219057e+02  -1.54255355e+02  -1.54060727e+02  -1.54053508e+02  -1.54105157e+02
1.600000  -1.53878092e+02  -1.54203361e+02  -1.54239717e+02  -1.54045116e+02  -1.54037851e+02  -1.54089492e+02
1.700000  -1.53856379e+02  -1.54189627e+02  -1.54226058e+02  -1.54031484e+02  -1.54024193e+02  -1.54075743e+02
1.800000  -1.53836095e+02  -1.54177897e+02  -1.54214410e+02  -1.54019871e+02  -1.54012564e+02  -1.54063982e+02
1.900000  -1.53817263e+02  -1.54168090e+02  -1.54204676e+02  -1.54010190e+02  -1.54002862e+02  -1.54054162e+02
2.000000  -1.53799860e+02  -1.54160036e+02  -1.54196676e+02  -1.54002271e+02  -1.53994906e+02  -1.54046144e+02
2.100000  -1.53783832e+02  -1.54153521e+02  -1.54190186e+02  -1.53995892e+02  -1.53988466e+02  -1.54039721e+02
2.200000  -1.53769105e+02  -1.54148309e+02  -1.54184965e+02  -1.53990816e+02  -1.53983300e+02  -1.54034659e+02
2.300000  -1.53755590e+02  -1.54144170e+02  -1.54180783e+02  -1.53986811e+02  -1.53979174e+02  -1.54030720e+02
2.400000  -1.53743194e+02  -1.54140900e+02  -1.54177432e+02  -1.53983669e+02  -1.53975881e+02  -1.54027687e+02
2.500000  -1.53731826e+02  -1.54138319e+02  -1.54174740e+02  -1.53981211e+02  -1.53973246e+02  -1.54025371e+02
2.600000  -1.53721398e+02  -1.54136280e+02  -1.54172562e+02  -1.53979288e+02  -1.53971124e+02  -1.54023617e+02
2.700000  -1.53711830e+02  -1.54134665e+02  -1.54170786e+02  -1.53977780e+02  -1.53969402e+02  -1.54022298e+02
2.800000  -1.53703052e+02  -1.54133378e+02  -1.54169323e+02  -1.53976592e+02  -1.53967991e+02  -1.54021313e+02
2.900000  -1.53695001e+02  -1.54132344e+02  -1.54168102e+02  -1.53975649e+02  -1.53966821e+02  -1.54020581e+02
3.000000  -1.53687621e+02  -1.54131505e+02  -1.54167072e+02  -1.53974893e+02  -1.53965838e+02  -1.54020040e+02
3.100000  -1.53680865e+02  -1.54130815e+02  -1.54166191e+02  -1.53974278e+02  -1.53965001e+02  -1.54019641e+02
3.200000  -1.53674688e+02  -1.54130242e+02  -1.54165428e+02  -1.53973774e+02  -1.53964282e+02  -1.54019346e+02
3.300000  -1.53632054e+02  -1.54128992e+02  -1.54159562e+02  -1.53973501e+02  -1.53959151e+02  -1.54018416e+02
