#distance   RHF     CCSD
0.700000  -1.54023192e+02  -1.54693039e+02
0.800000  -1.54110921e+02  -1.54783198e+02
0.900000  -1.54139650e+02  -1.54814894e+02
1.000000  -1.54138090e+02  -1.54816652e+02
1.100000  -1.54121353e+02  -1.54803490e+02
1.200000  -1.54097542e+02  -1.54783531e+02
1.300000  -1.54071053e+02  -1.54761244e+02
1.400000  -1.54044263e+02  -1.54739074e+02
1.500000  -1.54018407e+02  -1.54718310e+02
1.600000  -1.53994082e+02  -1.54699579e+02
1.700000  -1.53971535e+02  -1.54683128e+02
1.800000  -1.53950830e+02  -1.54668976e+02
1.900000  -1.53931927e+02  -1.54657012e+02
2.000000  -1.53914729e+02  -1.54647041e+02
2.100000  -1.53899110e+02  -1.54638827e+02
2.200000  -1.53884930e+02  -1.54632118e+02
2.300000  -1.53872054e+02  -1.54626670e+02
2.400000  -1.53860353e+02  -1.54622264e+02
2.500000  -1.53849710e+02  -1.54618709e+02
2.600000  -1.53840021e+02  -1.54615842e+02
2.700000  -1.53831190e+02  -1.54613530e+02
2.800000  -1.53823132e+02  -1.54611661e+02
2.900000  -1.53815767e+02  -1.54610148e+02
3.000000  -1.53809028e+02  -1.54608915e+02
3.100000  -1.53802854e+02  -1.54607907e+02
3.200000  -1.53797190e+02  -1.54607079e+02
3.300000  -1.53791990e+02  -1.54606395e+02
3.400000  -1.53756378e+02  -1.54602755e+02
