#distance  HF  EmbCCSD  EmbCCSD(v)  EmbCCSD(1C)  EmbCCSD(1C,v)  EmbCCSD(1C,f)
0.600000  -1.53820182e+02  -1.54352068e+02  -1.54562307e+02  -1.54069992e+02  -1.54073011e+02  -1.54128483e+02
0.700000  -1.54023192e+02  -1.54556249e+02  -1.54766793e+02  -1.54274124e+02  -1.54277153e+02  -1.54333574e+02
0.800000  -1.54110921e+02  -1.54646035e+02  -1.54856810e+02  -1.54363853e+02  -1.54366779e+02  -1.54423789e+02
0.900000  -1.54139650e+02  -1.54677445e+02  -1.54888369e+02  -1.54395208e+02  -1.54397941e+02  -1.54455179e+02
1.000000  -1.54138090e+02  -1.54678947e+02  -1.54889996e+02  -1.54396680e+02  -1.54399195e+02  -1.54456471e+02
1.100000  -1.54121353e+02  -1.54665517e+02  -1.54876724e+02  -1.54383277e+02  -1.54385585e+02  -1.54442882e+02
1.200000  -1.54097542e+02  -1.54645283e+02  -1.54856687e+02  -1.54363131e+02  -1.54365263e+02  -1.54422668e+02
1.300000  -1.54071053e+02  -1.54622715e+02  -1.54834346e+02  -1.54340701e+02  -1.54342700e+02  -1.54400298e+02
1.400000  -1.54044263e+02  -1.54600259e+02  -1.54812129e+02  -1.54318422e+02  -1.54320330e+02  -1.54378180e+02
1.500000  -1.54018407e+02  -1.54579214e+02  -1.54791324e+02  -1.54297584e+02  -1.54299432e+02  -1.54357565e+02
1.600000  -1.53994082e+02  -1.54560215e+02  -1.54772558e+02  -1.54278815e+02  -1.54280619e+02  -1.54339049e+02
1.700000  -1.53971535e+02  -1.54543513e+02  -1.54756081e+02  -1.54262354e+02  -1.54264125e+02  -1.54322850e+02
1.800000  -1.53950830e+02  -1.54529129e+02  -1.54741915e+02  -1.54248210e+02  -1.54249959e+02  -1.54308964e+02
1.900000  -1.53931927e+02  -1.54516943e+02  -1.54729943e+02  -1.54236256e+02  -1.54237989e+02  -1.54297250e+02
2.000000  -1.53914729e+02  -1.54506756e+02  -1.54719961e+02  -1.54226285e+02  -1.54228000e+02  -1.54287490e+02
2.100000  -1.53899110e+02  -1.54498322e+02  -1.54711719e+02  -1.54218051e+02  -1.54219735e+02  -1.54279431e+02
2.200000  -1.53884930e+02  -1.54491389e+02  -1.54704955e+02  -1.54211299e+02  -1.54212926e+02  -1.54272818e+02
2.300000  -1.53872054e+02  -1.54485714e+02  -1.54699419e+02  -1.54205787e+02  -1.54207323e+02  -1.54267415e+02
2.400000  -1.53860353e+02  -1.54481077e+02  -1.54694892e+02  -1.54201296e+02  -1.54202706e+02  -1.54263012e+02
2.500000  -1.53849710e+02  -1.54477289e+02  -1.54691187e+02  -1.54197639e+02  -1.54198890e+02  -1.54259431e+02
2.600000  -1.53840021e+02  -1.54474191e+02  -1.54688150e+02  -1.54194655e+02  -1.54195721e+02  -1.54256519e+02
2.700000  -1.53831190e+02  -1.54471650e+02  -1.54685652e+02  -1.54192214e+02  -1.54193075e+02  -1.54254150e+02
2.800000  -1.53823132e+02  -1.54469557e+02  -1.54683591e+02  -1.54190207e+02  -1.54190852e+02  -1.54252219e+02
2.900000  -1.53815767e+02  -1.54467827e+02  -1.54681885e+02  -1.54188551e+02  -1.54188971e+02  -1.54250645e+02
3.000000  -1.53809028e+02  -1.54466389e+02  -1.54680465e+02  -1.54187176e+02  -1.54187367e+02  -1.54249360e+02
3.100000  -1.53802854e+02  -1.54465188e+02  -1.54679280e+02  -1.54186028e+02  -1.54185990e+02  -1.54248312e+02
3.200000  -1.53797190e+02  -1.54464183e+02  -1.54678287e+02  -1.54185068e+02  -1.54184801e+02  -1.54247459e+02
3.300000  -1.53791990e+02  -1.54463337e+02  -1.54677454e+02  -1.54184260e+02  -1.54183768e+02  -1.54246769e+02
