# ccECP basis sets (ccECP_36_core)
# https://pseudopotentiallibrary.org/
BASIS "ao basis" PRINT
#BASIS SET
Sr S
      5.992049   0.000272
      3.168105  -0.000205
      1.675035  -0.018729
      0.885621   0.155424
      0.468244  -0.282262
      0.247569  -0.194587
      0.130894  -0.000020
      0.069206   0.439383
      0.036591   0.510299
      0.019346   0.250186
Sr P
      7.951794  -0.000866
      3.994003   0.004079
      2.006096  -0.011485
      1.007616   0.028610
      0.506102  -0.052036
      0.254203   0.053616
      0.127681  -0.242572
      0.064131   0.618101
      0.032212  -0.669698
      0.016179   1.288514
Sr S
      0.104740   1.000000
Sr S
      0.063508   1.000000
Sr S
      0.038507   1.000000
Sr S
      0.023349   1.000000
Sr S
      0.014157   1.000000
Sr S
      0.008584   1.000000
Sr S
      0.003434   1.000000
Sr P
      0.550328   1.000000
Sr P
      0.298723   1.000000
Sr P
      0.162149   1.000000
Sr P
      0.088016   1.000000
Sr P
      0.047776   1.000000
Sr P
      0.025933   1.000000
Sr P
      0.010373   1.000000
Sr D
      1.305669   1.000000
Sr D
      0.580485   1.000000
Sr D
      0.258076   1.000000
Sr D
      0.114738   1.000000
Sr D
      0.051011   1.000000
Sr D
      0.020404   1.000000
Sr F
      0.795779   1.000000
Sr F
      0.396676   1.000000
Sr F
      0.197733   1.000000
Sr F
      0.098565   1.000000
Sr F
      0.039426   1.000000
Sr G
      0.306039   1.000000
Sr G
      0.174526   1.000000
Sr G
      0.099528   1.000000
Sr G
      0.039811   1.000000
Sr H
      0.540397   1.000000
Sr H
      0.178207   1.000000
Sr H
      0.071283   1.000000
Sr I
      0.345287   1.000000
Sr I
      0.138115   1.000000
END
