#
# Table S3 from https://doi.org/10.1021/acs.inorgchem.5b02920
#
Mn 0.0000000 0.0000000 0.3359758
O 0.0000000 0.0000000 1.8297508
N 1.3666362 -1.3559275 -0.1180308
N 1.3666362 1.3559275 -0.1180308
N -1.3666362 -1.3559275 -0.1180308
N -1.3666362 1.3559275 -0.1180308
C1 -2.7259738 1.2000595 0.0537932
C1 -1.201673 2.7071893 -0.3334657
C -2.4542153 3.3812622 -0.3149287
C -3.3978224 2.4498207 -0.0438664
C -3.3712602 0.0000000 0.1966098
C1 -2.7259738 -1.2000595 0.0537932
C -3.3978224 -2.4498207 -0.0438664
C -2.4542153 -3.3812622 -0.3149287
C1 -1.201673 -2.7071893 -0.3334657
C 0.0000000 -3.3476252 -0.4787069
C1 1.201673 -2.7071893 -0.3334657
C 2.4542153 -3.3812622 -0.3149287
C 3.3978224 -2.4498207 -0.0438664
C1 2.7259738 -1.2000595 0.0537932
C 3.3712602 0.0000000 0.1966098
C1 2.7259738 1.2000595 0.0537932
C 3.3978224 2.4498207 -0.0438664
C 2.4542153 3.3812622 -0.3149287
C1 1.201673 2.7071893 -0.3334657
C 0.0000000 3.3476252 -0.4787069
H 0.0000000 4.4157677 -0.6506434
H -2.577075 4.4417697 -0.4757792
H -4.4649322 2.5777804 0.0588908
H -4.4447354 0.0000000 0.3310094
H -4.4649322 -2.5777804 0.0588908
H -2.577075 -4.4417697 -0.4757792
H 0.0000000 -4.4157677 -0.6506434
H 2.577075 -4.4417697 -0.4757792
H 4.4649322 -2.5777804 0.0588908
H 4.4447354 0.0000000 0.3310094
H 4.4649322 2.5777804 0.0588908
H 2.577075 4.4417697 -0.4757792
